id,round,subject,coreConceptId,semanticRole,factualCorrectness,answer,choiceSetSameAcross3Rounds,correctAnswerSameAcross3Rounds,contentIntegrity,lawAsOf,notes
2026-04-L01,2026年4月公表,関係法令,L01,CORE,PASS,50人,YES,YES,PASS,2026-08-08,コア論点 / 2026-08-08現行法で正答PASS
2026-04-L02,2026年4月公表,関係法令,L02,CORE,PASS,14日以内,YES,YES,PASS,2026-08-08,コア論点 / 2026-08-08現行法で正答PASS
2026-04-L03,2026年4月公表,関係法令,L03,CORE,PASS,毎週1回,YES,YES,PASS,2026-08-08,コア論点 / 2026-08-08現行法で正答PASS
2026-04-L04,2026年4月公表,関係法令,L04,CORE,PASS,2人,YES,YES,PASS,2026-08-08,コア論点 / 2026-08-08現行法で正答PASS
2026-04-L05,2026年4月公表,関係法令,L05,CORE,PASS,3人,YES,YES,PASS,2026-08-08,コア論点 / 2026-08-08現行法で正答PASS
2026-04-L06,2026年4月公表,関係法令,L06,CORE,PASS,5人,YES,YES,PASS,2026-08-08,コア論点 / 2026-08-08現行法で正答PASS
2026-04-L07,2026年4月公表,関係法令,L07,CORE,PASS,"常時1,200人の事業場",YES,YES,PASS,2026-08-08,コア論点 / 2026-08-08現行法で正答PASS
2026-04-L08,2026年4月公表,関係法令,L08,CORE,PASS,製造業では第二種衛生管理者免許のみの者は選任できない,YES,YES,PASS,2026-08-08,コア論点 / 2026-08-08現行法で正答PASS
2026-04-L09,2026年4月公表,関係法令,L09,CORE,PASS,毎月1回以上,YES,YES,PASS,2026-08-08,コア論点 / 2026-08-08現行法で正答PASS
2026-04-L10,2026年4月公表,関係法令,L10,CORE,PASS,3年,YES,YES,PASS,2026-08-08,コア論点 / 2026-08-08現行法で正答PASS
2026-04-L11,2026年4月公表,関係法令,L11,CORE,PASS,50人,YES,YES,PASS,2026-08-08,コア論点 / 2026-08-08現行法で正答PASS
2026-04-L12,2026年4月公表,関係法令,L12,CORE,PASS,"常時1,000人以上の事業場",YES,YES,PASS,2026-08-08,コア論点 / 2026-08-08現行法で正答PASS
2026-04-L13,2026年4月公表,関係法令,L13,CORE,PASS,2人,YES,YES,PASS,2026-08-08,コア論点 / 2026-08-08現行法で正答PASS
2026-04-L14,2026年4月公表,関係法令,L14,CORE,PASS,1年以内ごとに1回,YES,YES,PASS,2026-08-08,コア論点 / 2026-08-08現行法で正答PASS
2026-04-L15,2026年4月公表,関係法令,L15,CORE,PASS,6か月以内ごとに1回,YES,YES,PASS,2026-08-08,コア論点 / 2026-08-08現行法で正答PASS
2026-04-L16,2026年4月公表,関係法令,L16,CORE,PASS,5年,YES,YES,PASS,2026-08-08,コア論点 / 2026-08-08現行法で正答PASS
2026-04-L17,2026年4月公表,関係法令,L17,CORE,PASS,常時50人以上,YES,YES,PASS,2026-08-08,コア論点 / 2026-08-08現行法で正答PASS
2026-04-H01,2026年4月公表,労働衛生,H01,CORE,PASS,作業環境管理・作業管理・健康管理,YES,YES,PASS,,コア論点
2026-04-H02,2026年4月公表,労働衛生,H02,CORE,PASS,局所排気装置,YES,YES,PASS,,コア論点
2026-04-H03,2026年4月公表,労働衛生,H03,CORE,PASS,全体換気（希釈換気）,YES,YES,PASS,,コア論点
2026-04-H04,2026年4月公表,労働衛生,H04,CORE,PASS,18％未満,YES,YES,PASS,,コア論点
2026-04-H05,2026年4月公表,労働衛生,H05,CORE,PASS,無色・無臭である,YES,YES,PASS,,コア論点
2026-04-H06,2026年4月公表,労働衛生,H06,CORE,PASS,ヘモグロビンと強く結合するため,YES,YES,PASS,,コア論点
2026-04-H07,2026年4月公表,労働衛生,H07,CORE,PASS,高濃度では嗅覚が麻痺し臭いを感じにくくなることがある,YES,YES,PASS,,コア論点
2026-04-H08,2026年4月公表,労働衛生,H08,CORE,PASS,多くは揮発性があり、蒸気が低い場所に滞留しやすいものがある,YES,YES,PASS,,コア論点
2026-04-H09,2026年4月公表,労働衛生,H09,CORE,PASS,造血機能への障害,YES,YES,PASS,,コア論点
2026-04-H10,2026年4月公表,労働衛生,H10,CORE,PASS,貧血や神経障害,YES,YES,PASS,,コア論点
2026-04-H11,2026年4月公表,労働衛生,H11,CORE,PASS,中枢神経系の障害,YES,YES,PASS,,コア論点
2026-04-H12,2026年4月公表,労働衛生,H12,CORE,PASS,精神・神経症状,YES,YES,PASS,,コア論点
2026-04-H13,2026年4月公表,労働衛生,H13,CORE,PASS,"4,000Hz付近",YES,YES,PASS,,コア論点
2026-04-H14,2026年4月公表,労働衛生,H14,CORE,PASS,レイノー現象（白ろう指）,YES,YES,PASS,,コア論点
2026-04-H15,2026年4月公表,労働衛生,H15,CORE,PASS,WBGT,YES,YES,PASS,,コア論点
2026-04-H16,2026年4月公表,労働衛生,H16,CORE,PASS,シーベルト,YES,YES,PASS,,コア論点
2026-04-H17,2026年4月公表,労働衛生,H17,CORE,PASS,より有害性の低い物質への代替,YES,YES,PASS,,コア論点
2026-04-P01,2026年4月公表,労働生理,P01,CORE,PASS,赤血球中のヘモグロビン,YES,YES,PASS,,コア論点
2026-04-P02,2026年4月公表,労働生理,P02,CORE,PASS,生体防御・免疫,YES,YES,PASS,,コア論点
2026-04-P03,2026年4月公表,労働生理,P03,CORE,PASS,止血・血液凝固への関与,YES,YES,PASS,,コア論点
2026-04-P04,2026年4月公表,労働生理,P04,CORE,PASS,左心室,YES,YES,PASS,,コア論点
2026-04-P05,2026年4月公表,労働生理,P05,CORE,PASS,肺胞,YES,YES,PASS,,コア論点
2026-04-P06,2026年4月公表,労働生理,P06,CORE,PASS,水分や必要物質の多くが尿細管で再吸収される,YES,YES,PASS,,コア論点
2026-04-P07,2026年4月公表,労働生理,P07,CORE,PASS,グリコーゲンの貯蔵や解毒,YES,YES,PASS,,コア論点
2026-04-P08,2026年4月公表,労働生理,P08,CORE,PASS,血糖値を低下させる方向に働く,YES,YES,PASS,,コア論点
