TH-R3-1-001	第1章	セルフメディケーションの限界	H=B-(3)	Q:一般用かぜ薬を3日使用しているが、39℃台の発熱と息苦しさが強くなっている。登録販売者の対応として最も適切なのはどれか。	1:一般用医薬品の追加販売を優先せず、医療機関の受診を勧める。 || 2:同じかぜ薬を倍量にするよう勧める。 || 3:症状が重いほど複数のかぜ薬を併用させる。 || 4:1週間は必ず同じ薬で様子を見る。 || 5:受診するとセルフメディケーションにならないので避ける。	ANS:1	FLAGS:ABSOLUTE_DISTRACTOR,CORRECT_LONGER_35PCT
TH-R3-1-002	第1章	副作用歴	H=B-(3)	Q:以前ある解熱鎮痛薬を服用した後に全身じんましんと呼吸苦を経験した人が、同じ製品を希望している。最も適切な対応はどれか。	1:過去の副作用・アレルギー歴を重視し、同じ製品を安易に勧めず専門家への相談を促す。 || 2:今回は少量なら必ず安全と説明する。 || 3:過去の副作用歴は今回の購入と無関係とする。 || 4:症状が消えた経験があるので倍量を勧める。 || 5:添加物が原因の可能性はないと断定する。	ANS:1	FLAGS:ABSOLUTE_DISTRACTOR,CORRECT_LONGER_35PCT
TH-R3-1-003	第1章	小児への使用	H=D(6)	Q:5歳児に成人用の一般用医薬品を半量にして使いたいと相談された。適切な説明はどれか。	1:成人用製品を単純に減量すればよいとは限らず、年齢制限と小児用の用法・用量を確認する。 || 2:成人量の半分ならすべての成分で使用できる。 || 3:小児では副作用が起こらない。 || 4:体重だけを見れば年齢制限は無視できる。 || 5:成人用製品の方が必ず安全である。	ANS:1	FLAGS:ABSOLUTE_DISTRACTORS_2PLUS,CORRECT_LONGER_35PCT,HEDGE_VS_ABSOLUTE_PATTERN
TH-R3-1-004	第1章	高齢者と多剤使用	H=C(4)	Q:82歳で複数の処方薬を使用中の人が一般用医薬品を希望している。販売前の確認として最も重要なのはどれか。	1:治療中の病気と使用中の医薬品を確認し、相互作用や生理機能低下を考慮する。 || 2:年齢だけで用量を半分に決める。 || 3:処方薬の内容は確認しない。 || 4:高齢者では相互作用は起こらないと説明する。 || 5:一般用医薬品なら必ず併用できると説明する。	ANS:1	FLAGS:ABSOLUTE_DISTRACTORS_2PLUS,CORRECT_LONGER_35PCT
TH-R3-1-005	第1章	妊娠中の使用	H=D(6)	Q:妊娠の可能性がある人が一般用医薬品を購入しようとしている。適切な対応はどれか。	1:妊娠の可能性と製品の注意事項を確認し、必要に応じて医師・薬剤師等への相談を勧める。 || 2:一般用医薬品は胎盤を通過しないので確認不要とする。 || 3:妊娠の可能性を聞いてはならない。 || 4:妊婦では成人量の2倍が標準と説明する。 || 5:外用薬なら全製品で確認不要とする。	ANS:1	FLAGS:ABSOLUTE_DISTRACTORS_2PLUS,CORRECT_LONGER_35PCT,HEDGE_VS_ABSOLUTE_PATTERN
TH-R3-1-006	第1章	授乳中の使用	H=B-(3)	Q:授乳中の人から『市販薬なら母乳へ移らないですよね』と聞かれた。適切な回答はどれか。	1:成分によっては乳汁へ移行するため、授乳に関する注意を製品ごとに確認する必要がある。 || 2:すべての一般用医薬品は乳汁へ移行しない。 || 3:授乳中は用法・用量を守る必要がない。 || 4:授乳中は全ての一般用医薬品が使用禁止である。 || 5:乳汁移行は医療用医薬品だけに起こる。	ANS:1	FLAGS:ABSOLUTE_DISTRACTOR,CORRECT_LONGER_35PCT
TH-R3-1-007	第1章	健康食品との併用	H=D(6)	Q:処方薬を服用している人が複数のサプリメントも使用している。最も適切な助言はどれか。	1:健康食品も含めて使用状況を医師・薬剤師等へ伝え、相互作用の可能性を確認する。 || 2:食品なので相互作用は絶対にない。 || 3:サプリメントを使えば処方薬を中止できる。 || 4:服用時間をずらせば必ず安全である。 || 5:健康食品の量は多いほどよい。	ANS:1	FLAGS:ABSOLUTE_DISTRACTORS_2PLUS,CORRECT_LONGER_35PCT,HEDGE_VS_ABSOLUTE_PATTERN
TH-R3-1-008	第1章	開封後の品質	H=C(4)	Q:使用期限が半年先の液剤だが、開封から長期間経過している。適切な考え方はどれか。	1:表示された使用期限だけでなく、開封後の保存状況や製品ごとの注意も確認する。 || 2:使用期限内なら開封後何年でも必ず使える。 || 3:外観が同じなら品質低下は起こらない。 || 4:別容器へ移せば品質は必ず回復する。 || 5:開封日を確認する必要はない。	ANS:1	FLAGS:CORRECT_LONGER_35PCT,HEDGE_VS_ABSOLUTE_PATTERN
TH-R3-1-009	第1章	保存環境	H=B-(3)	Q:夏の車内に一般用医薬品を数日置いていた。品質面で最も適切な判断はどれか。	1:高温により品質が低下する可能性があるため、保存条件を確認し安易に使用しない。 || 2:使用期限内なら高温の影響はない。 || 3:錠剤なら温度の影響を受けない。 || 4:直射日光は医薬品品質に影響しない。 || 5:一度冷蔵すれば必ず元の品質に戻る。	ANS:1	FLAGS:ABSOLUTE_DISTRACTOR,CORRECT_LONGER_35PCT
TH-R3-1-010	第1章	プラセボと有効性評価	H=C(4)	Q:『効くと信じて飲んだら楽になったので、この薬は必ず効く』という説明について適切なのはどれか。	1:期待や心理状態による症状変化もあり得るため、個人の体感だけで医薬品の有効性を断定できない。 || 2:体感があれば薬理作用の証明になる。 || 3:プラセボ効果は必ず症状を悪化させる。 || 4:心理状態は症状へ影響しない。 || 5:有効性評価では対照比較は不要である。	ANS:1	FLAGS:CORRECT_LONGER_35PCT,CORRECT_STYLE_OUTLIER
