similarity,id_a,id_b,concept_a,concept_b,answer_a,answer_b,classification,manual_result
0.7419,2026-04-Q02,2025-10-Q03,papr_standard,ammonia_mask_standard,防じん機能を有する電動ファン付き呼吸用保護具,アンモニア用防毒マスク,OFFICIAL_RECURRENCE_DISTINCT,PASS - substantive duplicate is not present
0.9231,2026-04-Q02,2025-04-Q03,papr_standard,co_mask_standard,防じん機能を有する電動ファン付き呼吸用保護具,一酸化炭素用防毒マスク,OFFICIAL_RECURRENCE_DISTINCT,PASS - substantive duplicate is not present
0.75,2026-04-Q07,2025-04-Q04,lead_supervisor_skill,asbestos_supervisor_skill,鉛作業主任者技能講習を修了する,石綿作業主任者技能講習を修了した者,OFFICIAL_RECURRENCE_DISTINCT,PASS - substantive duplicate is not present
0.9375,2026-04-Q10,2025-04-Q10,hazardous_overtime_cold,vibration_overtime_cap,著しく寒冷な場所における業務,削岩機などで身体に著しい振動を与える業務,OFFICIAL_RECURRENCE_DISTINCT,PASS - substantive duplicate is not present
0.9348,2026-04-Q26,2025-10-Q27,paid_3days_2half,paid_4days_3half,6日,10日,OFFICIAL_RECURRENCE_DISTINCT,PASS - substantive duplicate is not present
0.7368,2026-04-Q31,2026-04-Q36,cerebral_embolism,bile_emulsification,心臓などでできた血栓が流れて脳血管を閉塞する,消化酵素を含まないが脂肪を乳化する,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
0.7368,2026-04-Q31,2026-04-Q38,cerebral_embolism,liver_urea,心臓などでできた血栓が流れて脳血管を閉塞する,アンモニアから尿素を合成する,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
0.8,2026-04-Q31,2025-10-Q32,cerebral_embolism,open_fracture,心臓などでできた血栓が流れて脳血管を閉塞する,骨折部が創を通じて外界と交通している,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
0.8205,2026-04-Q31,2025-10-Q33,cerebral_embolism,prevalence,心臓などでできた血栓が流れて脳血管を閉塞する,ある時点・期間に疾病を有する人の割合,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
0.75,2026-04-Q31,2025-10-Q41,cerebral_embolism,cortex_gray,心臓などでできた血栓が流れて脳血管を閉塞する,神経細胞体が多い灰白質が外側にある,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
0.8,2026-04-Q31,2025-04-Q11,cerebral_embolism,management_concentration_role,心臓などでできた血栓が流れて脳血管を閉塞する,作業環境の管理区分を判断するための指標で、個人ばく露限界そのものではない,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
0.8889,2026-04-Q36,2026-04-Q38,bile_emulsification,liver_urea,消化酵素を含まないが脂肪を乳化する,アンモニアから尿素を合成する,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
0.7368,2026-04-Q36,2025-10-Q32,bile_emulsification,open_fracture,消化酵素を含まないが脂肪を乳化する,骨折部が創を通じて外界と交通している,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
0.7568,2026-04-Q36,2025-10-Q33,bile_emulsification,prevalence,消化酵素を含まないが脂肪を乳化する,ある時点・期間に疾病を有する人の割合,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
0.7568,2026-04-Q36,2025-10-Q36,bile_emulsification,pulmonary_circulation,消化酵素を含まないが脂肪を乳化する,右心室→肺動脈→肺→肺静脈→左心房,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
0.7368,2026-04-Q36,2025-10-Q41,bile_emulsification,cortex_gray,消化酵素を含まないが脂肪を乳化する,神経細胞体が多い灰白質が外側にある,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
0.7368,2026-04-Q36,2025-04-Q11,bile_emulsification,management_concentration_role,消化酵素を含まないが脂肪を乳化する,作業環境の管理区分を判断するための指標で、個人ばく露限界そのものではない,TEMPLATE_SIMILARITY_FALSE_POSITIVE,PASS - substantive duplicate is not present
