ID,領域,区分,操作,期待結果,証跡,結果,不具合ID,備考
TF-001,インストール,必須,TestFlightから新規インストールし起動,クラッシュせず初回説明が表示される,起動画面スクリーンショット,,,
TF-002,初回説明,必須,3画面を順に進み「使い始める」を押す,説明が完了しデモプロジェクトが表示される,最終画面スクリーンショット,,,
TF-003,再起動,必須,アプリを終了して再起動,初回説明が再表示されず直前の状態が保持される,画面録画,,,
TF-004,現在地,必須,現在地タブを開く,プロジェクト概要、AI担当、タスク、進捗が表示される,スクリーンショット,,,
TF-005,プロジェクト,必須,新規プロジェクトを作成,作成した名称と概要が保存される,作成前後スクリーンショット,,,
TF-006,プロジェクト,必須,プロジェクト名・概要を編集,変更内容が保存され再起動後も残る,画面録画,,,
TF-007,プロジェクト,必須,2件目を作成して切り替える,各プロジェクトの内容が混ざらず切り替わる,画面録画,,,
TF-008,AI担当,必須,AI担当を追加し役割・状態・制約を入力,入力内容が一覧と詳細に反映される,スクリーンショット,,,
TF-009,AI担当,必須,AI担当を編集,変更が保存され再起動後も残る,画面録画,,,
TF-010,タスク,必須,タスクを追加し担当・優先度・状態・メモを設定,一覧へ正しい値で追加される,スクリーンショット,,,
TF-011,タスク,必須,タスクの状態を未着手→進行中→完了へ変更,状態と進捗表示が正しく更新される,画面録画,,,
TF-012,タスク,必須,タスクを編集,タイトル・担当・優先度・メモが保存される,画面録画,,,
TF-013,ログ,必須,実行結果、決定事項、成果、次のアクションを追加,ログが正しいAI担当と日時で保存される,スクリーンショット,,,
TF-014,ログ,必須,既存ログを編集,編集内容が保存される,画面録画,,,
TF-015,指示,必須,指示をタイトル・版・本文付きで追加,指示一覧と引継ぎ文へ反映される,スクリーンショット,,,
TF-016,指示,必須,指示を編集,版番号と本文が更新される,画面録画,,,
TF-017,リスク,必須,リスク、重要度、対応策を追加・編集,入力内容が保存される,スクリーンショット,,,
TF-018,成果物,必須,成果物名、保存先、メモを追加・編集,入力内容が保存される,スクリーンショット,,,
TF-019,引継ぎ,必須,引継ぎタブを開く,現在地・担当・タスク・ログ・指示・リスク・成果物を含むMarkdownが生成される,全文保存,,,
TF-020,コピー,必須,引継ぎ文のコピーを実行しメモへ貼り付け,文字欠けなく貼り付けられる,貼付結果スクリーンショット,,,
TF-021,共有,必須,OS共有を開いてキャンセル,共有シートが開き、キャンセル後にアプリへ戻る,画面録画,,,
TF-022,共有,必須,OS共有で自分宛ての安全な共有先へ送る,本文が共有先へ正しく渡る,共有結果,,,
TF-023,バックアップ,必須,JSONバックアップをファイルへ保存,ファイルが作成され、内容が空でない,ファイル情報,,,
TF-024,復元,必須,テスト用データを変更後、保存したJSONを復元,保存時点のプロジェクト・タスク・ログへ戻る,画面録画,,,
TF-025,不正ファイル,必須,JSONでないファイルまたは壊れたJSONを読込,クラッシュせずエラーが表示され既存データが保持される,画面録画,,,
TF-026,削除,必須,テスト用プロジェクトを削除,確認後に対象だけ削除され、他データは残る,画面録画,,,
TF-027,テーマ,必須,ライト・ダーク・端末連動を切り替える,各テーマが即時反映され再起動後も設定が残る,3枚のスクリーンショット,,,
TF-028,安全表示,必須,設定から初回説明または安全表示を再表示,説明と機密情報注意が正常に表示される,スクリーンショット,,,
TF-029,プライバシー,必須,アプリ内プライバシーポリシーを開く,端末内保存、外部送信なし、共有・JSON注意が読める,スクリーンショット,,,
TF-030,オフライン,必須,機内モードで起動し主要操作を行う,作成・編集・保存・引継ぎ生成が利用できる,画面録画,,,
TF-031,データ保持,必須,複数データを作成後に端末を再起動しアプリを開く,全データが保持される,再起動前後スクリーンショット,,,
TF-032,文字入力,必須,日本語、英数字、記号、改行を各入力欄へ登録,文字化け・欠落・レイアウト崩れがない,スクリーンショット,,,
TF-033,長文,必須,長い指示文とログを入力しスクロール,保存でき、画面が操作不能にならない,画面録画,,,
TF-034,画面表示,必須,iPhone 16の縦画面で全タブ・ダイアログを確認,ボタン、見出し、入力欄が欠けない,全画面スクリーンショット,,,
TF-035,連続操作,必須,追加・編集・切替を10分程度連続実行,クラッシュ、フリーズ、著しい遅延がない,画面録画とメモ,,,
TF-036,バージョン,必須,設定またはアプリ情報を確認,Version 0.6.0 / Build 6が確認できる,スクリーンショット,,,
TF-037,公開URL,提出前,SafariでPrivacy URLを開く,HTTPSで表示され404でなくサポートへ移動できる,Safariスクリーンショット,,,
TF-038,公開URL,提出前,SafariでSupport URLを開く,HTTPSで表示され問い合わせ窓口とPrivacyリンクが機能する,Safariスクリーンショット,,,
TF-039,メタデータ,提出前,App Store Connectの説明・画像と実機機能を比較,存在しない機能や誤解を招く表現がない,確認記録,,,
TF-040,プライバシー,提出前,App Privacy回答と実装を照合,サーバー・広告・解析・追跡・AI APIがなく「収集なし」と一致,確認記録,,,
