id	sourceExam	questionNo	subject	domain	question	choices_json	answer_type	answer_json	accepted_answers_json	scoring_status	requires_media	choiceParseStatus	correctionStatus_json	caseGroupId	source_url	answer_source_url	effective_date	rights_basis
P111-001	111	1	必須	物理・化学・生物	水 100 mL に、ある有機溶媒 100 mL を加えると二液相が形成され、上層が水相 となった。この有機溶媒はどれか。１つ選べ。	"[""ジエチルエーテル"",""1‑オクタノール"",""‑ヘキサン"",""トルエン"",""クロロホルム""]"	singleChoice	4	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-002	111	2	必須	物理・化学・生物	イオン強度 を求める式として正しいのはどれか。１つ選べ。ただし、 はイオ ン種 のモル濃度、 はそのイオンの電荷である。	"[""＝∑"",""＝∑ 2"",""＝∑ 2 ＝ ∑"",""2 ∑"",""＝ 2""]"	singleChoice	4	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-004	111	4	必須	物理・化学・生物	吸光度 1.0 を透過率で表すといくらか。１つ選べ。ただし、吸光度の測定に用い たセルの層長は 1.0 cm とする。	"[""1.0％"",""10％"",""50％"",""90％"",""99％""]"	singleChoice	1	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-012	111	12	必須	物理・化学・生物	ペントースリン酸回路の中で NADPH を生じる反応の基質はどれか。１つ選べ。	"[""グルコース 1‑リン酸"",""グルコース 6‑リン酸"",""フルクトース 6‑リン酸"",""グリセルアルデヒド 3‑リン酸"",""ホスホエノールピルビン酸""]"	singleChoice	1	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-013	111	13	必須	物理・化学・生物	一次（中枢）リンパ器官はどれか。１つ選べ。	"[""脾臓"",""リンパ節"",""胸腺"",""扁桃"",""パイエル板""]"	singleChoice	2	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-014	111	14	必須	物理・化学・生物	ヒトでは合成されない、真菌に特異的な細胞膜成分はどれか。１つ選べ。	"[""ホスファチジルエタノールアミン"",""ホスファチジルセリン"",""スフィンゴミエリン"",""エルゴステロール"",""コレステロール""]"	singleChoice	3	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-015	111	15	必須	物理・化学・生物	生物種ごとに 1 セットとして定義される、すべての核酸上の遺伝情報はどれか。 １つ選べ。	"[""エキソン"",""イントロン"",""ヒストン"",""ゲノム"",""テロメア 必須問題 【衛生】""]"	singleChoice	3	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-016	111	16	必須	衛生	疾病の三次予防に該当するのはどれか。１つ選べ。	"[""健常者のがん検診"",""禁煙教室"",""在宅機能訓練"",""献血された血液の抗 HIV 抗体検査"",""予防接種""]"	singleChoice	2	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-017	111	17	必須	衛生	2019〜2023 年の 5 年間の陽性者発見率が最も高い新生児マススクリーニングの 対象疾患はどれか。１つ選べ。	"[""先天性甲状腺機能低下症"",""メープルシロップ尿症"",""フェニルケトン尿症"",""ガラクトース血症"",""先天性副腎過形成症""]"	singleChoice	0	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-019	111	19	必須	衛生	「日本人の食事摂取基準（2020 年版）」において、摂取量を増やすことを目指す 栄養素として目標量が設定されているのはどれか。１つ選べ。	"[""ナイアシン"",""ビオチン"",""カリウム"",""ナトリウム"",""リン""]"	singleChoice	2	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
