id	sourceExam	questionNo	subject	domain	question	choices_json	answer_type	answer_json	accepted_answers_json	scoring_status	requires_media	choiceParseStatus	correctionStatus_json	caseGroupId	source_url	answer_source_url	effective_date	rights_basis
P111-001	111	1	必須	物理・化学・生物	水 100 mL に、ある有機溶媒 100 mL を加えると二液相が形成され、上層が水相 となった。この有機溶媒はどれか。１つ選べ。	"[""ジエチルエーテル"",""1‑オクタノール"",""‑ヘキサン"",""トルエン"",""クロロホルム""]"	singleChoice	4	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-002	111	2	必須	物理・化学・生物	イオン強度 を求める式として正しいのはどれか。１つ選べ。ただし、 はイオ ン種 のモル濃度、 はそのイオンの電荷である。	"[""＝∑"",""＝∑ 2"",""＝∑ 2 ＝ ∑"",""2 ∑"",""＝ 2""]"	singleChoice	4	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-003	111	3	必須	物理・化学・生物	ある薬物の分解反応を異なる温度で行い、その反応速度定数 の対数（ln ）を 縦軸に、絶対温度 の逆数（1/ ）を横軸にとってプロットした場合、アレニウ スの式に従っているのはどれか。１つ選べ。	[]	singleChoice	0	null	normal	true	no_choice_sequence	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-004	111	4	必須	物理・化学・生物	吸光度 1.0 を透過率で表すといくらか。１つ選べ。ただし、吸光度の測定に用い たセルの層長は 1.0 cm とする。	"[""1.0％"",""10％"",""50％"",""90％"",""99％""]"	singleChoice	1	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-005	111	5	必須	物理・化学・生物	採取した 1 つの均質な検体から同じように調製した多数の試料を 1 回ずつ分析 し、得られた測定値の分布を、真の値を 100.0 としてヒストグラムに表した。真度 及び精度ともに高いのはどれか。１つ選べ。ただし、分析した試料数は同じであ る。	[]	singleChoice	3	null	normal	true	no_choice_sequence	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-006	111	6	必須	物理・化学・生物	薬物中の塩基性官能基を中和するベシル酸の化学構造（分子形）として、正しい のはどれか。１つ選べ。	[]	singleChoice	1	null	normal	true	no_choice_sequence	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-007	111	7	必須	物理・化学・生物	一酸化窒素はラジカル分子である。そのルイス構造式はどれか。１つ選べ。	[]	singleChoice	0	null	normal	true	no_choice_sequence	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-008	111	8	必須	物理・化学・生物	芳香環を除く二重結合が、 配置であるのはどれか。１つ選べ。	[]	singleChoice	2	null	normal	true	no_choice_sequence	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-009	111	9	必須	物理・化学・生物	芳香族性を示さないのはどれか。１つ選べ。	[]	singleChoice	2	null	normal	true	no_choice_sequence	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-010	111	10	必須	物理・化学・生物	下図に示した植物由来の化合物が含む部分構造はどれか。１つ選べ。	"[""リグナン"",""クロモン"",""フラノクマリン"",""ジテルペン"",""アントラキノン""]"	singleChoice	2	null	normal	true	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
