id,round,official_no,subject,concept,correct,official_recurrence,recurrence_family,law_as_of,audit_source,result
2026-04-Q01,2026-04,1,関係法令,mfg400_hygiene_manager_count,2人,True,management_system,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,PASS
2026-04-Q02,2026-04,2,関係法令,papr_standard,防じん機能を有する電動ファン付き呼吸用保護具,True,regulated_ppe,2026-08-08,https://anzeninfo.mhlw.go.jp/yougo/yougo88_1.html,PASS
2026-04-Q03,2026-04,3,関係法令,specified_equipment_2y,2年以内ごとに1回,True,specific_equipment,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74097000&dataType=0,PASS
2026-04-Q04,2026-04,4,関係法令,class1_manufacture_permit,厚生労働大臣の許可,False,,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74097000&dataType=0,PASS
2026-04-Q05,2026-04,5,関係法令,organic_health_record_5y,5年,False,,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74090000&dataType=0&pageNo=1,PASS
2026-04-Q06,2026-04,6,関係法令,dust_special_education,粉じん作業に関する特別教育,False,,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,PASS
2026-04-Q07,2026-04,7,関係法令,lead_supervisor_skill,鉛作業主任者技能講習を修了する,False,,2026-08-08,https://anzeninfo.mhlw.go.jp/yougo/yougo34_1.html,PASS
2026-04-Q08,2026-04,8,関係法令,label_required_info,その物質に適用される全法令名の一覧,False,,2026-08-08,https://www.mhlw.go.jp/stf/newpage_11237.html,PASS
2026-04-Q09,2026-04,9,関係法令,xray_measurement,線量当量率または線量当量,False,,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,PASS
2026-04-Q10,2026-04,10,関係法令,hazardous_overtime_cold,著しく寒冷な場所における業務,False,,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74001000&dataType=0,PASS
2026-04-Q11,2026-04,11,労働衛生,acrylonitrile_vapor,アクリロニトリル,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q12,2026-04,12,労働衛生,risk_substitution,より有害性の低い物質への代替,True,risk_assessment,,https://www.mhlw.go.jp/stf/newpage_11389.html,PASS
2026-04-Q13,2026-04,13,労働衛生,cs2_neuro,精神・神経症状,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q14,2026-04,14,労働衛生,noise_source_control,発生源・伝ぱ経路対策を先に検討し、必要に応じて聴覚保護具を併用する,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q15,2026-04,15,労働衛生,alpha_particle,粒子線で、物質への透過力は比較的弱い,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q16,2026-04,16,労働衛生,oxygen_respirator,送気マスク,True,oxygen_deficiency,,https://www.mhlw.go.jp/web/t_doc?dataId=74105000&dataType=0&pageNo=1,PASS
2026-04-Q17,2026-04,17,労働衛生,mercury_cns,中枢神経系,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q18,2026-04,18,労働衛生,external_hood_airflow,囲い式より大きな排風量を要しやすい,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q19,2026-04,19,労働衛生,bio_sampling_timing,物質により体内半減期が短く、採取時刻で濃度が変わるため,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q20,2026-04,20,労働衛生,nhexane_metabolite,"2,5-ヘキサンジオン",False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q21,2026-04,21,関係法令,industrial_physician_over3000,2人以上,False,,2026-08-08,https://anzeninfo.mhlw.go.jp/yougo/yougo19_1.html,PASS
2026-04-Q22,2026-04,22,関係法令,consultant_registration,所定の名簿への登録,False,,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74001000&dataType=0,PASS
2026-04-Q23,2026-04,23,関係法令,health_exam_work_history,既往歴および業務歴の調査,False,,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,PASS
2026-04-Q24,2026-04,24,関係法令,long_hours_80_request,本人の申出を受けて医師による面接指導を行う,False,,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,PASS
2026-04-Q25,2026-04,25,関係法令,workroom_opening,20分の1以上,False,,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74089000&dataType=0&pageNo=1,PASS
2026-04-Q26,2026-04,26,関係法令,paid_3days_2half,6日,True,paid_leave,2026-08-08,https://www.mhlw.go.jp/seisakunitsuite/bunya/koyou_roudou/roudouseisaku/chushoukigyou/joken_kankyou_rule.html,PASS
2026-04-Q27,2026-04,27,関係法令,overtime_limits,原則月45時間・年360時間、特別条項でも月100時間未満・年720時間以内,False,,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74001000&dataType=0,PASS
2026-04-Q28,2026-04,28,労働衛生,wbgt,WBGT,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q29,2026-04,29,労働衛生,thp_guidance,運動・保健・栄養・メンタルヘルスケアなど,True,thp,,https://kokoro.mhlw.go.jp/glossaries/word-1510/,PASS
2026-04-Q30,2026-04,30,労働衛生,fracture_splint,骨折部の上下の関節まで固定できる長さの副子を使う,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q31,2026-04,31,労働衛生,cerebral_embolism,心臓などでできた血栓が流れて脳血管を閉塞する,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q32,2026-04,32,労働衛生,lifting_posture,荷物に近づき、膝を曲げて脚の力で立ち上がる,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q33,2026-04,33,労働衛生,co2_ventilation,在室者数,False,,,https://www.mhlw.go.jp/web/t_doc?dataId=74089000&dataType=0&pageNo=1,PASS
2026-04-Q34,2026-04,34,労働衛生,aging_lighting,必要照度を確保しつつ、まぶしさにも配慮する,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q35,2026-04,35,労働生理,vestibular_inner_ear,内耳,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q36,2026-04,36,労働生理,bile_emulsification,消化酵素を含まないが脂肪を乳化する,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q37,2026-04,37,労働生理,nucleus_ganglion,中枢神経系では神経核、末梢神経系では神経節,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q38,2026-04,38,労働生理,liver_urea,アンモニアから尿素を合成する,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q39,2026-04,39,労働生理,glomerular_protein,大きな血漿蛋白質,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q40,2026-04,40,労働生理,hematocrit,約45％,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q41,2026-04,41,労働生理,lens_accommodation,水晶体,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q42,2026-04,42,労働生理,sweat_insensible,発汗は汗腺からの汗、不感蒸泄は意識されにくい皮膚・呼気からの水分喪失,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q43,2026-04,43,労働生理,humoral_immunity,Bリンパ球由来の抗体が抗原に結合する,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2026-04-Q44,2026-04,44,労働生理,presbycusis,高い周波数の音,False,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,PASS
2025-10-Q01,2025-10,1,関係法令,mfg400_general_manager,必要,True,management_system,2026-08-08,https://anzeninfo.mhlw.go.jp/yougo/yougo35_1.html,PASS
2025-10-Q02,2025-10,2,関係法令,pressure_hopper_supervisor,圧気工法の高圧室内作業と石炭ホッパー内部作業,False,,2026-08-08,https://anzeninfo.mhlw.go.jp/yougo/yougo34_1.html,PASS
2025-10-Q03,2025-10,3,関係法令,ammonia_mask_standard,アンモニア用防毒マスク,True,regulated_ppe,2026-08-08,https://anzeninfo.mhlw.go.jp/yougo/yougo88_1.html,PASS
2025-10-Q04,2025-10,4,関係法令,special_management_closure_records,作業記録・作業環境測定記録・特殊健康診断個人票,False,,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74097000&dataType=0,PASS
2025-10-Q05,2025-10,5,関係法令,strong_noise_partition,隔壁を設けるなど騒音の伝ぱを防ぐ措置,False,,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,PASS
2025-10-Q06,2025-10,6,関係法令,specific_dust_sources,屋内で粉状の炭素製品を袋詰めする箇所,False,,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,PASS
2025-10-Q07,2025-10,7,関係法令,oxygen_pulp_supervisor,第二種酸素欠乏危険作業主任者技能講習修了者から選任,True,oxygen_deficiency,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74105000&dataType=0&pageNo=1,PASS
2025-10-Q08,2025-10,8,関係法令,xray_measure_pair,エックス線透過写真撮影の管理区域―線量当量率または線量当量,False,,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,PASS
2025-10-Q09,2025-10,9,関係法令,organic_empty_container_outdoor,密閉するか屋外の一定場所に集積する,False,,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74090000&dataType=0&pageNo=1,PASS
2025-10-Q10,2025-10,10,関係法令,inert_tank_overtime_exception,ヘリウム等の不活性ガスを入れたことのあるタンク内部の業務,False,,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74001000&dataType=0,PASS
2025-10-Q11,2025-10,11,労働衛生,carbon_disulfide_vapor,二硫化炭素,False,,,https://www.exam.or.jp/wp-content/uploads/2025/10/LC20252114.pdf,PASS
2025-10-Q12,2025-10,12,労働衛生,manganese_parkinsonism,筋のこわばり・震え・歩行困難など,False,,,https://www.exam.or.jp/wp-content/uploads/2025/10/LC20252114.pdf,PASS
2025-10-Q13,2025-10,13,労働衛生,silicosis_silica,遊離けい酸を含む粉じん,False,,,https://www.exam.or.jp/wp-content/uploads/2025/10/LC20252114.pdf,PASS
2025-10-Q14,2025-10,14,労働衛生,c5dip,"4,000Hz付近",False,,,https://www.exam.or.jp/wp-content/uploads/2025/10/LC20252114.pdf,PASS
2025-10-Q15,2025-10,15,労働衛生,risk_definition,災害・健康障害が起こる可能性と結果の重大性の組合せ,True,risk_assessment,,https://www.mhlw.go.jp/stf/newpage_11389.html,PASS
2025-10-Q16,2025-10,16,労働衛生,organic_liver_kidney,肝機能障害や腎機能障害,False,,,https://www.exam.or.jp/wp-content/uploads/2025/10/LC20252114.pdf,PASS
