id	sourceExam	questionNo	subject	domain	question	choices_json	answer_type	answer_json	accepted_answers_json	scoring_status	requires_media	choiceParseStatus	correctionStatus_json	caseGroupId	source_url	answer_source_url	effective_date	rights_basis
P111-176	111	176	理論	薬剤	体内からの薬物の消失がミカエリス・メンテン式に従うとき、経口投与後の定 常状態における平均血中濃度が 2 mg/L となる投与量と投与回数の組合せとして、 最 も 適 切 な の は ど れ か。 １つ 選 べ。 た だ し、 こ の 薬 物 の ミ カ エ リ ス 定 数 は 4 mg/L、最大消失速度は 720 mg/day、バイオアベイラビリティは 100％とする。 1 回あたりの投与量（mg） 投与回数	"[""360 1日1回"",""300 1日2回"",""240 1日3回"",""120 1日3回"",""80 1日3回""]"	singleChoice	4	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001677929.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-196	111	196	実践	物理・化学・生物	‑197 45 歳男性。会社の健康診断にて毎年尿酸値の高値を指摘されてきた。右の 第一中足趾節関節（親指の付け根）に痛みがあったので、近くの整形外科クリニッ クを受診したところ、痛風と診断された。処方 1 、 2 の薬剤を服用していたが、最 近、仕事のストレスから普段の飲酒（ビール）が増え、 3 日前から同じ部位の腫脹 と激しい疼痛が現れた。今朝受診し、処方 3 、 4 の薬剤が追加され、薬局を訪れ た。 （処方 1 ） フェブキソスタット錠 20 mg 1 回 1 錠（ 1 日 1 錠） 1日1回 朝食後 28 日分 （処方 2 ） クエン酸カリウム・クエン酸ナトリウム配合散 1 回 1 g （ 1 日 3 g） 1日3回 朝昼夕食後 28 日分 （処方 3 ） ナプロキセン錠 100 mg 昼 4 錠、夕 2 錠（ 1 日 6 錠） 1日2回 昼夕食後 1 日分（初日） （処方 4 ） ナプロキセン錠 100 mg 1 回 2 錠（ 1 日 4 錠） 1日2回 朝夕食後 6 日分（ 2 日目以降） （検査値） 血圧 125/80 mmHg、血清クレアチニン 0.8 mg/dL、尿酸 7.2 mg/dL、 CRP 5.6 mg/dL、尿 pH 5.5 問 196（物理・化学・生物） 高尿酸血症の患者では、血液中に尿酸ナトリウムが健常者より高濃度で存在して い る。 図 に 示 す よ う に 尿 酸 ナ ト リ ウ ム は 弱 酸・ 強 塩 基 の 塩 で あ り、 尿 酸 の p a は 5.75（25 ℃）である。いま、400 μmol/L の尿酸ナトリウム水溶液があった とすると、この水溶液の pH に最も近い値はどれか。１つ選べ。 ただし、尿酸ナトリウムは水溶液中で次のように反応するものとし、水のイオン 積 w ＝［H ］ ＋ ［OH ］＝ 1.0 × 10 − （mol/L） −14 2 （25 ℃）、log 2 ＝ 0.30 とする。また、 温度は 25 ℃で、尿酸ナトリウムは水溶液中で完全に溶解しており、沈殿は生じて いないものとする。 尿酸ナトリウム（NaU） NaU → U− ＋ Na＋ 尿酸ナトリウム 尿酸イオン U− ＋ H 2O ⇄ HU ＋ OH− 尿酸	"[""6.8"",""7.6"",""8.2"",""8.8"",""9.4""]"	singleChoice	2	null	normal	false	parsed	"[""none""]"	P111-CASE-196	https://www.mhlw.go.jp/content/001677930.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-226	111	226	実践	衛生	‑227 院内の感染症対策委員会において、インフルエンザ流行への対応策を検討 した結果、高齢者の死亡リスクがあるため、面会制限を実施するとともに、薬剤師 が院内スタッフへ向けて感染予防の講義を行うことになった。 委員会を見学していた実務実習生から、「高齢者の死亡リスクはどのようにして 求めるのですか。 」と質問があったため、指導薬剤師が高齢者の死亡リスクを求め る模擬データを用いた課題を出した。 （模擬データ） インフルエンザウイルス感染者数と 28 日以内の死亡者数 年齢群（歳） 感染者数（人） 死亡者数（人） 55〜59 600 1 60〜64 400 1 65〜69 400 2 70〜74 400 2 75〜79 400 4 80〜84 400 5 85〜89 300 10 90〜94 300 15 問 226（衛生） 模擬データにおいて、55〜64 歳と比較した 80〜94 歳の年齢群の死亡リスクの オッズ比として最も近いのはどれか。１つ選べ。	"[""0.30"",""1.5"",""3.0"",""15"",""30""]"	singleChoice	3	null	normal	false	parsed	"[""none""]"	P111-CASE-226	https://www.mhlw.go.jp/content/001677930.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-244	111	244	実践	衛生	‑245 9 月上旬に小学校の学校給食施設において、調理場の温湿度計が誤作動を 起こし表示されなくなった。夏場は熱気や蒸気の発生で、高温・高湿になることが 多かったため、現状を把握するために、学校薬剤師が室内の作業環境測定を行うこ とになった。 問 244（衛生） 学校薬剤師が屋内の調理場の乾球温度、湿球温度、黒球温度を測定したところ、 以下の値であった。暑さ指数（湿球黒球温度：WBGT）として最も近い値はどれ か。１つ選べ。 乾球温度：28.0 ℃ 湿球温度：25.0 ℃ 黒球温度：32.0 ℃	"[""25"",""26"",""27"",""28"",""29""]"	singleChoice	2	null	normal	false	parsed	"[""none""]"	P111-CASE-244	https://www.mhlw.go.jp/content/001677930.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-285	111	285	実践	実務	（実務） ロキサチジン酢酸エステル塩酸塩は、小児の逆流性食道炎に対して、体重 30 kg 未満では 1 回 37.5 mg、体重 30 kg 以上では 1 回 75 mg を 1 日 2 回経口投与 する。この患児に対するアルタット細粒 20％の 1 日量（製剤量）として、最も近 い値はどれか。１つ選べ。	"[""0.030 g"",""0.075 g"",""0.150 g"",""0.375 g"",""0.500 g""]"	singleChoice	3	null	normal	false	parsed	"[""none""]"	P111-CASE-284	https://www.mhlw.go.jp/content/001677931.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-335	111	335	実践	実務	医師より、以下に示す組成の輸液（1,000 mL）の調製依頼があった。生理食塩 液、塩化カルシウム注射液（0.5 mol/L）、50 w/v％ブドウ糖注射液及び注射用水 を用いて調製する時、必要量（mL）として最も近い値の組合せはどれか。１つ選 べ。塩化ナトリウムの式量及びブドウ糖の分子量は、それぞれ 58.5 及び 180 とす る。 （電解質組成） Na＋ 77 mEq/L、Ca2＋ 3 mEq/L、Cl− 80 mEq/L 浸透圧を 300 mOsm/L に調整する。 塩化カルシウム 50 w/v％ブドウ糖 生理食塩液 注射液 注射用水 注射液 （0.5 mol/L）	"[""50.7 3.0 50.9 895.4"",""50.7 6.0 50.9 892.4"",""50.7 6.0 57.1 886.2"",""500.7 3.0 50.9 445.4"",""500.7 3.0 57.1 439.2"",""500.7 6.0 57.1 436.2""]"	singleChoice	3	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001677932.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P110-047	110	47	必須	薬剤	体内動態が線形 ₁︲コンパートメントモデルに従い、消失半減期が ₂ 時間である 薬物を静脈内定速注入する。投与開始後、薬物の血中濃度が定常状態の血中濃度の ₇₅％に到達する時間（h）はどれか。1つ選べ。	"[""₁"",""₂"",""₃"",""₄"",""₅""]"	singleChoice	3	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001455149.pdf	https://www.mhlw.go.jp/content/001458551.pdf	2025-02-23	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P110-048	110	48	必須	薬剤	ある薬物の肝固有クリアランス（CL int）が肝血流量（Q h）と比較して十分に小 さい場合、その薬物の肝クリアランスはどのように近似できるか。1つ選べ。 ただし、fu は血漿タンパク非結合形分率とする。	"[""Qh"",""CL int"",""fu・Q h"",""fu・CL int"",""CL int/fu""]"	singleChoice	3	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001455149.pdf	https://www.mhlw.go.jp/content/001458551.pdf	2025-02-23	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P110-169	110	169	理論	薬剤	メトプロロールは、肝臓における代謝及び尿中への排泄の両過程により体内か ら消失する。全身クリアランスは ₁ . ₀ L/min であり、静脈内投与後の尿中未変化 体排泄率は投与量の ₁₀％である。メトプロロールを経口投与した際、肝初回通過 効果により消失する割合（％）に最も近い値はどれか。1つ選べ。 ただし、メトプロロールの消化管からの吸収は ₁₀₀％であり、消化管における代 謝はなく、肝血流量は ₁ . ₅ L/min とする。	"[""₂₀"",""₃₀"",""₄₀"",""₅₀"",""₆₀""]"	singleChoice	4	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001455159.pdf	https://www.mhlw.go.jp/content/001458551.pdf	2025-02-23	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P110-176	110	176	理論	薬剤	ある水不溶性の薬物粉体 ₂₅ . ₀ g を ₅₀ . ₀ mL の容器に充てんした。この容器を 水で満たしたとき、全体の質量（容器質量を除く）は ₅₅ . ₀ g であった。この粉体 の真密度（g/mL）に最も近い値はどれか。1つ選べ。 ただし、水の密度を ₁ . ₀₀ g/mL とし、添加した水は粉体の空隙をすべて満たす ものとする。	"[""₀ . ₈₀"",""₁ . ₀₀"",""₁ . ₂₅"",""₁ . ₅₀"",""₁ . ₇₅""]"	singleChoice	2	null	normal	false	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001455159.pdf	https://www.mhlw.go.jp/content/001458551.pdf	2025-02-23	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
