id,round,question_no,subject,conceptKey,stem,correct,id_unique,stem_unique,concept_unique,choice_set_unique,choices_internal_unique,semantic_independence,padding_status,law_status,law_as_of,future_law_watch,official_topic_source,audit_source,audit_date,original_expression,final_status
2026-04-Q01,2026-04,1,関係法令,mfg400_dedicated_hygiene_manager,常時400人を使用する製造業の事業場で、衛生管理者のうち少なくとも1人を専任とする義務について正しいものはどれか。,労働者数400人という条件だけでは、専任とする義務は生じない,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2026-08-08,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,2026-08-08,PASS,PASS
2026-04-Q02,2026-04,2,関係法令,papr_standard,法令上、厚生労働大臣が定める規格を満たす必要がある保護具はどれか。,防じん機能を有する電動ファン付き呼吸用保護具,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2026-08-08,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://anzeninfo.mhlw.go.jp/yougo/yougo88_1.html,2026-08-08,PASS,PASS
2026-04-Q03,2026-04,3,関係法令,specified_equipment_2y,特定化学設備等の定期自主検査は原則どの頻度で行うか。,2年以内ごとに1回,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2026-08-08,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.mhlw.go.jp/web/t_doc?dataId=74097000&dataType=0,2026-08-08,PASS,PASS
2026-04-Q04,2026-04,4,関係法令,class1_manufacture_permit,特定化学物質の第一類物質を製造する場合、原則必要な手続はどれか。,厚生労働大臣の許可,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2026-08-08,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.mhlw.go.jp/web/t_doc?dataId=74097000&dataType=0,2026-08-08,PASS,PASS
2026-04-Q05,2026-04,5,関係法令,organic_health_record_5y,有機溶剤等健康診断個人票の保存期間は何年か。,5年,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2026-08-08,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.mhlw.go.jp/web/t_doc?dataId=74090000&dataType=0&pageNo=1,2026-08-08,PASS,PASS
2026-04-Q06,2026-04,6,関係法令,dust_special_education,セメントの袋詰めなど一定の粉じん作業に従事させる前に必要な教育はどれか。,粉じん作業に関する特別教育,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2026-08-08,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,2026-08-08,PASS,PASS
2026-04-Q07,2026-04,7,関係法令,lead_supervisor_skill,鉛作業主任者になるための資格取得方法として正しいものはどれか。,鉛作業主任者技能講習を修了する,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2026-08-08,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://anzeninfo.mhlw.go.jp/yougo/yougo34_1.html,2026-08-08,PASS,PASS
2026-04-Q08,2026-04,8,関係法令,label_required_info,化学品ラベルの必須表示事項に通常含まれないものはどれか。,その物質に適用される全法令名の一覧,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2026-08-08,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.mhlw.go.jp/stf/newpage_11237.html,2026-08-08,PASS,PASS
2026-04-Q09,2026-04,9,関係法令,xray_measurement,エックス線装置を用いる作業場の管理区域で定期測定すべきものはどれか。,線量当量率または線量当量,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2026-08-08,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,2026-08-08,PASS,PASS
2026-04-Q10,2026-04,10,関係法令,hazardous_overtime_cold,1日の時間外労働の延長が2時間以内に制限される有害業務の例はどれか。,著しく寒冷な場所における業務,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2026-08-08,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.mhlw.go.jp/web/t_doc?dataId=74001000&dataType=0,2026-08-08,PASS,PASS
2026-04-Q11,2026-04,11,労働衛生,acrylonitrile_vapor,25℃・1気圧で液体であり、空気中では「蒸気」として存在する物質はどれか。,アクリロニトリル,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,2026-08-08,PASS,PASS
2026-04-Q12,2026-04,12,労働衛生,risk_substitution,化学物質リスク低減で保護具より先に検討する対策はどれか。,より有害性の低い物質への代替,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.mhlw.go.jp/stf/newpage_11389.html,2026-08-08,PASS,PASS
2026-04-Q13,2026-04,13,労働衛生,cs2_neuro,二硫化炭素への慢性ばく露で代表的な健康影響はどれか。,精神・神経症状,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,2026-08-08,PASS,PASS
2026-04-Q14,2026-04,14,労働衛生,noise_source_control,騒音対策の基本的な優先順位として適切なのはどれか。,発生源・伝ぱ経路対策を先に検討し、必要に応じて聴覚保護具を併用する,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,2026-08-08,PASS,PASS
2026-04-Q15,2026-04,15,労働衛生,alpha_particle,アルファ線の性質として正しいものはどれか。,粒子線で、物質への透過力は比較的弱い,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,2026-08-08,PASS,PASS
2026-04-Q16,2026-04,16,労働衛生,oxygen_respirator,酸素濃度18％未満の場所で使用できる呼吸用保護具はどれか。,送気マスク,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.mhlw.go.jp/web/t_doc?dataId=74105000&dataType=0&pageNo=1,2026-08-08,PASS,PASS
2026-04-Q17,2026-04,17,労働衛生,mercury_cns,金属水銀蒸気へのばく露で主要な標的となるのはどれか。,中枢神経系,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,2026-08-08,PASS,PASS
2026-04-Q18,2026-04,18,労働衛生,external_hood_airflow,局所排気装置の外付け式フードの一般的特徴はどれか。,囲い式より大きな排風量を要しやすい,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,2026-08-08,PASS,PASS
2026-04-Q19,2026-04,19,労働衛生,bio_sampling_timing,生物学的モニタリングで採尿時刻を管理する主な理由はどれか。,物質により体内半減期が短く、採取時刻で濃度が変わるため,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,2026-08-08,PASS,PASS
2026-04-Q20,2026-04,20,労働衛生,nhexane_metabolite,ノルマルヘキサンの生物学的モニタリングで代表的な尿中指標はどれか。,"2,5-ヘキサンジオン",PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,2026-08-08,PASS,PASS
2026-04-Q21,2026-04,21,関係法令,industrial_physician_over3000,"常時3,000人を超える労働者を使用する事業場では産業医を何人以上選任するか。",2人以上,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2026-08-08,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://anzeninfo.mhlw.go.jp/yougo/yougo19_1.html,2026-08-08,PASS,PASS
2026-04-Q22,2026-04,22,関係法令,consultant_registration,労働衛生コンサルタントとして業務を行うために必要なものはどれか。,所定の名簿への登録,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2026-08-08,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.mhlw.go.jp/web/t_doc?dataId=74001000&dataType=0,2026-08-08,PASS,PASS
2026-04-Q23,2026-04,23,関係法令,health_exam_work_history,一般定期健康診断で省略できない基本項目はどれか。,既往歴および業務歴の調査,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2026-08-08,2027-04-01: 一般健診に血清クレアチニン追加・喀痰削除。業務歴の正答自体は影響なし。,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,2026-08-08,PASS,PASS
2026-04-Q24,2026-04,24,関係法令,long_hours_80_request,一般労働者が月80時間を超える時間外・休日労働をし疲労蓄積がある場合の面接指導の基本はどれか。,本人の申出を受けて医師による面接指導を行う,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2026-08-08,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,2026-08-08,PASS,PASS
2026-04-Q25,2026-04,25,関係法令,workroom_opening,十分な換気設備がない屋内作業場で、開放可能な窓等の面積は床面積の原則どれだけ以上か。,20分の1以上,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2026-08-08,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.mhlw.go.jp/web/t_doc?dataId=74089000&dataType=0&pageNo=1,2026-08-08,PASS,PASS
2026-04-Q26,2026-04,26,関係法令,paid_3days_2half,週3日・週20時間勤務、勤続2年6か月、出勤率8割以上の労働者に新たに付与する年休は何日か。,6日,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2026-08-08,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.mhlw.go.jp/seisakunitsuite/bunya/koyou_roudou/roudouseisaku/chushoukigyou/joken_kankyou_rule.html,2026-08-08,PASS,PASS
2026-04-Q27,2026-04,27,関係法令,overtime_limits,時間外労働の上限の組合せとして原則正しいものはどれか。,原則月45時間・年360時間、特別条項でも月100時間未満・年720時間以内,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2026-08-08,,https://www.exam.or.jp/wp-content/uploads/2026/04/LC20260415.pdf,https://www.mhlw.go.jp/web/t_doc?dataId=74001000&dataType=0,2026-08-08,PASS,PASS
