id,examDate,domain,sourceQuestionNumber,answer,sourceUrl,transcription_check,explanation_check,legal_reference_date
fp2-2026-05-gakka-001,2026-05,ライフプランニングと資金計画,1,3,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-002,2026-05,ライフプランニングと資金計画,2,4,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-003,2026-05,ライフプランニングと資金計画,3,4,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-004,2026-05,ライフプランニングと資金計画,4,3,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-005,2026-05,ライフプランニングと資金計画,5,3,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-006,2026-05,ライフプランニングと資金計画,6,4,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-007,2026-05,ライフプランニングと資金計画,7,3,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-008,2026-05,ライフプランニングと資金計画,8,1,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-009,2026-05,ライフプランニングと資金計画,9,2,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-010,2026-05,ライフプランニングと資金計画,10,3,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-011,2026-05,リスク管理,11,2,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-012,2026-05,リスク管理,12,1,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-013,2026-05,リスク管理,13,4,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-014,2026-05,リスク管理,14,3,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-015,2026-05,リスク管理,15,3,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-016,2026-05,リスク管理,16,4,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-017,2026-05,リスク管理,17,1,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-018,2026-05,リスク管理,18,2,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-019,2026-05,リスク管理,19,2,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-020,2026-05,リスク管理,20,1,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-021,2026-05,金融資産運用,21,4,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-022,2026-05,金融資産運用,22,2,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-023,2026-05,金融資産運用,23,3,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-024,2026-05,金融資産運用,24,2,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-025,2026-05,金融資産運用,25,2,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-026,2026-05,金融資産運用,26,2,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-027,2026-05,金融資産運用,27,1,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-028,2026-05,金融資産運用,28,1,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-029,2026-05,金融資産運用,29,1,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-030,2026-05,金融資産運用,30,2,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-031,2026-05,タックスプランニング,31,4,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-032,2026-05,タックスプランニング,32,4,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-033,2026-05,タックスプランニング,33,2,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-034,2026-05,タックスプランニング,34,2,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-035,2026-05,タックスプランニング,35,1,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-036,2026-05,タックスプランニング,36,3,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-037,2026-05,タックスプランニング,37,4,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-038,2026-05,タックスプランニング,38,3,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-039,2026-05,タックスプランニング,39,1,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-040,2026-05,タックスプランニング,40,4,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-041,2026-05,不動産,41,4,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-042,2026-05,不動産,42,1,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-043,2026-05,不動産,43,4,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-044,2026-05,不動産,44,2,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-045,2026-05,不動産,45,3,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-046,2026-05,不動産,46,4,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-047,2026-05,不動産,47,1,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-048,2026-05,不動産,48,2,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-049,2026-05,不動産,49,1,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-050,2026-05,不動産,50,2,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-051,2026-05,相続・事業承継,51,3,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-052,2026-05,相続・事業承継,52,2,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
fp2-2026-05-gakka-053,2026-05,相続・事業承継,53,2,https://www.jafp.or.jp/exam/mohan/files/g2_202605_qa.pdf,済,済,2025-04-01
