id,round,stem,correct,law_as_of,source,future_watch,status
2026-04-Q01,2026-04,常時400人を使用する製造業の事業場で、衛生管理者のうち少なくとも1人を専任とする義務について正しいものはどれか。,労働者数400人という条件だけでは、専任とする義務は生じない,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,,PASS
2026-04-Q02,2026-04,法令上、厚生労働大臣が定める規格を満たす必要がある保護具はどれか。,防じん機能を有する電動ファン付き呼吸用保護具,2026-08-08,https://anzeninfo.mhlw.go.jp/yougo/yougo88_1.html,,PASS
2026-04-Q03,2026-04,特定化学設備等の定期自主検査は原則どの頻度で行うか。,2年以内ごとに1回,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74097000&dataType=0,,PASS
2026-04-Q04,2026-04,特定化学物質の第一類物質を製造する場合、原則必要な手続はどれか。,厚生労働大臣の許可,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74097000&dataType=0,,PASS
2026-04-Q05,2026-04,有機溶剤等健康診断個人票の保存期間は何年か。,5年,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74090000&dataType=0&pageNo=1,,PASS
2026-04-Q06,2026-04,セメントの袋詰めなど一定の粉じん作業に従事させる前に必要な教育はどれか。,粉じん作業に関する特別教育,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,,PASS
2026-04-Q07,2026-04,鉛作業主任者になるための資格取得方法として正しいものはどれか。,鉛作業主任者技能講習を修了する,2026-08-08,https://anzeninfo.mhlw.go.jp/yougo/yougo34_1.html,,PASS
2026-04-Q08,2026-04,化学品ラベルの必須表示事項に通常含まれないものはどれか。,その物質に適用される全法令名の一覧,2026-08-08,https://www.mhlw.go.jp/stf/newpage_11237.html,,PASS
2026-04-Q09,2026-04,エックス線装置を用いる作業場の管理区域で定期測定すべきものはどれか。,線量当量率または線量当量,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,,PASS
2026-04-Q10,2026-04,1日の時間外労働の延長が2時間以内に制限される有害業務の例はどれか。,著しく寒冷な場所における業務,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74001000&dataType=0,,PASS
2026-04-Q21,2026-04,"常時3,000人を超える労働者を使用する事業場では産業医を何人以上選任するか。",2人以上,2026-08-08,https://anzeninfo.mhlw.go.jp/yougo/yougo19_1.html,,PASS
2026-04-Q22,2026-04,労働衛生コンサルタントとして業務を行うために必要なものはどれか。,所定の名簿への登録,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74001000&dataType=0,,PASS
2026-04-Q23,2026-04,一般定期健康診断で省略できない基本項目はどれか。,既往歴および業務歴の調査,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,2027-04-01: 一般健診に血清クレアチニン追加・喀痰削除。業務歴の正答自体は影響なし。,PASS
2026-04-Q24,2026-04,一般労働者が月80時間を超える時間外・休日労働をし疲労蓄積がある場合の面接指導の基本はどれか。,本人の申出を受けて医師による面接指導を行う,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74003000&dataType=0,,PASS
2026-04-Q25,2026-04,十分な換気設備がない屋内作業場で、開放可能な窓等の面積は床面積の原則どれだけ以上か。,20分の1以上,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74089000&dataType=0&pageNo=1,,PASS
2026-04-Q26,2026-04,週3日・週20時間勤務、勤続2年6か月、出勤率8割以上の労働者に新たに付与する年休は何日か。,6日,2026-08-08,https://www.mhlw.go.jp/seisakunitsuite/bunya/koyou_roudou/roudouseisaku/chushoukigyou/joken_kankyou_rule.html,,PASS
2026-04-Q27,2026-04,時間外労働の上限の組合せとして原則正しいものはどれか。,原則月45時間・年360時間、特別条項でも月100時間未満・年720時間以内,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74001000&dataType=0,,PASS
2025-10-Q01,2025-10,常時400人を使用する製造業の事業場で、総括安全衛生管理者の選任は必要か。,必要,2026-08-08,https://anzeninfo.mhlw.go.jp/yougo/yougo35_1.html,,PASS
2025-10-Q02,2025-10,作業主任者の選任が必要な作業の組合せとして適切なのはどれか。,圧気工法の高圧室内作業と石炭ホッパー内部作業,2026-08-08,https://anzeninfo.mhlw.go.jp/yougo/yougo34_1.html,,PASS
2025-10-Q03,2025-10,厚生労働大臣が定める規格を満たすことが必要なものはどれか。,アンモニア用防毒マスク,2026-08-08,https://anzeninfo.mhlw.go.jp/yougo/yougo88_1.html,,PASS
2025-10-Q04,2025-10,特別管理物質を製造する事業者が事業を廃止するとき、監督署へ提出対象となる記録の組合せとして適切なのはどれか。,作業記録・作業環境測定記録・特殊健康診断個人票,2026-08-08,https://www.mhlw.go.jp/web/t_doc?dataId=74097000&dataType=0,,PASS
