id	sourceExam	questionNo	subject	domain	question	choices_json	answer_type	answer_json	accepted_answers_json	scoring_status	requires_media	choiceParseStatus	correctionStatus_json	caseGroupId	source_url	answer_source_url	effective_date	rights_basis
P111-003	111	3	必須	物理・化学・生物	ある薬物の分解反応を異なる温度で行い、その反応速度定数 の対数（ln ）を 縦軸に、絶対温度 の逆数（1/ ）を横軸にとってプロットした場合、アレニウ スの式に従っているのはどれか。１つ選べ。	[]	singleChoice	0	null	normal	true	no_choice_sequence	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-005	111	5	必須	物理・化学・生物	採取した 1 つの均質な検体から同じように調製した多数の試料を 1 回ずつ分析 し、得られた測定値の分布を、真の値を 100.0 としてヒストグラムに表した。真度 及び精度ともに高いのはどれか。１つ選べ。ただし、分析した試料数は同じであ る。	[]	singleChoice	3	null	normal	true	no_choice_sequence	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-006	111	6	必須	物理・化学・生物	薬物中の塩基性官能基を中和するベシル酸の化学構造（分子形）として、正しい のはどれか。１つ選べ。	[]	singleChoice	1	null	normal	true	no_choice_sequence	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-007	111	7	必須	物理・化学・生物	一酸化窒素はラジカル分子である。そのルイス構造式はどれか。１つ選べ。	[]	singleChoice	0	null	normal	true	no_choice_sequence	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-008	111	8	必須	物理・化学・生物	芳香環を除く二重結合が、 配置であるのはどれか。１つ選べ。	[]	singleChoice	2	null	normal	true	no_choice_sequence	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-009	111	9	必須	物理・化学・生物	芳香族性を示さないのはどれか。１つ選べ。	[]	singleChoice	2	null	normal	true	no_choice_sequence	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-010	111	10	必須	物理・化学・生物	下図に示した植物由来の化合物が含む部分構造はどれか。１つ選べ。	"[""リグナン"",""クロモン"",""フラノクマリン"",""ジテルペン"",""アントラキノン""]"	singleChoice	2	null	normal	true	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-011	111	11	必須	物理・化学・生物	下図は、ヒト男性の泌尿器及び生殖器を含む下腹部の正中矢状断面図である。 前立腺はどれか。１つ選べ。	[]	singleChoice	3	null	normal	true	no_choice_sequence	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-018	111	18	必須	衛生	欠乏によりウェルニッケ脳症が引き起こされるビタミンはどれか。１つ選べ。	[]	singleChoice	1	null	normal	true	no_choice_sequence	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
P111-041	111	41	必須	薬剤	以下の構造式で示される薬物の脳内への移行に、主として関与するトランスポー ターはどれか。１つ選べ。	"[""P‑糖タンパク質"",""有機カチオントランスポーター OCT2"",""有機アニオントランスポーター OAT3"",""中性アミノ酸トランスポーター LAT1"",""グルコーストランスポーター GLUT1""]"	singleChoice	3	null	normal	true	parsed	"[""none""]"		https://www.mhlw.go.jp/content/001677927.pdf	https://www.mhlw.go.jp/content/001677933.pdf	2026-02-22	MHLW website content under Public Data License 1.0 unless separately indicated; third-party content requires separate review
