exam,question_no,section,rights_status,asset_status,correction_status,scoring_status
111,1,mandatory,cleared_text_only_candidate,none_detected_initial_review,none,scored
111,2,mandatory,pending,unreviewed,none,scored
111,3,mandatory,pending,unreviewed,none,scored
111,4,mandatory,cleared_text_only_candidate,none_detected_initial_review,none,scored
111,5,mandatory,pending,unreviewed,none,scored
111,6,mandatory,pending,unreviewed,none,scored
111,7,mandatory,pending,unreviewed,none,scored
111,8,mandatory,pending,unreviewed,none,scored
111,9,mandatory,pending,unreviewed,none,scored
111,10,mandatory,pending,unreviewed,none,scored
111,11,mandatory,pending,unreviewed,none,scored
111,12,mandatory,cleared_text_only_candidate,none_detected_initial_review,none,scored
111,13,mandatory,cleared_text_only_candidate,none_detected_initial_review,none,scored
111,14,mandatory,cleared_text_only_candidate,none_detected_initial_review,none,scored
111,15,mandatory,cleared_text_only_candidate,none_detected_initial_review,none,scored
111,16,mandatory,cleared_text_only_candidate,none_detected_initial_review,none,scored
111,17,mandatory,cleared_text_only_candidate,none_detected_initial_review,none,scored
111,18,mandatory,pending,unreviewed,none,scored
111,19,mandatory,pending,unreviewed,none,scored
111,20,mandatory,pending,unreviewed,none,scored
111,21,mandatory,pending,unreviewed,none,scored
111,22,mandatory,pending,unreviewed,none,scored
111,23,mandatory,pending,unreviewed,none,scored
111,24,mandatory,pending,unreviewed,none,scored
111,25,mandatory,pending,unreviewed,none,scored
111,26,mandatory,pending,unreviewed,none,scored
111,27,mandatory,pending,unreviewed,none,scored
111,28,mandatory,pending,unreviewed,none,scored
111,29,mandatory,pending,unreviewed,none,scored
111,30,mandatory,pending,unreviewed,none,scored
111,31,mandatory,pending,unreviewed,none,scored
111,32,mandatory,pending,unreviewed,none,scored
111,33,mandatory,pending,unreviewed,none,scored
111,34,mandatory,pending,unreviewed,none,scored
111,35,mandatory,pending,unreviewed,none,scored
111,36,mandatory,pending,unreviewed,none,scored
111,37,mandatory,pending,unreviewed,none,scored
111,38,mandatory,pending,unreviewed,none,scored
111,39,mandatory,pending,unreviewed,none,scored
